Date,Close,High,Low,Open,Volume
2013-03-26,79.54541015625,79.74796430489904,79.12341859043435,79.62136554733829,26348000
2013-03-27,79.59605407714844,79.65513264399021,78.69299230452093,79.03902850965189,28461800
2013-03-28,79.69732666015625,79.89144561187952,79.45257078149658,79.56228626955219,24160700
2013-04-01,78.62545776367188,79.73107341056797,78.24566155798725,79.56227295057064,59660300
2013-04-02,78.13594818115234,79.26688231757008,78.06842799534489,79.14872521194671,47917200
2013-04-03,76.91220092773438,78.47357528787452,76.73496519563305,78.43981518093875,65441400
2013-04-04,77.57048797607422,77.59580643822225,76.76870018660028,77.02189768624045,37706300
2013-04-05,77.41858673095703,77.43546356284311,76.31296428952268,76.39736132711553,46418300
2013-04-08,78.05999755859375,78.08531602213317,77.08098048028144,77.63800599538942,28886500
2013-04-09,77.83212280273438,78.3469530107822,77.6802055866042,78.18659416067811,36828400
2013-04-10,79.24158477783203,79.41882048305818,78.02624686876013,78.07689024102547,50119600
2013-04-11,79.35125732421875,79.81545042406353,79.12338480916249,79.19090497624491,32619000
2013-04-12,79.03057098388672,79.28376847034409,78.42290216765268,79.08120790554636,41931800
2013-04-15,76.05130004882812,78.61700885150816,75.78122577691857,78.54104704177311,100204000
2013-04-16,77.3679428100586,77.47766475332654,76.37204231971018,76.64211670154629,58061700
2013-04-17,76.0260009765625,76.81934073059578,75.30861661255231,76.73494370643226,77710600
2013-04-18,75.6040267944336,76.27077438501524,75.22423043978036,76.08509702572901,58516600
2013-04-19,76.47332000732422,76.54084021024008,75.29174221262052,75.92472962702455,44931600
2013-04-22,76.69274139404297,76.86153542691993,75.28328481929397,76.54925938310998,49190300
2013-04-23,77.90809631347656,77.93341478220758,76.68432310487914,77.30886894354336,55313200
2013-04-24,78.31320190429688,78.37228047073636,77.58737583713697,77.89121030427744,41020800
2013-04-25,78.82801818847656,79.2500097136407,78.39758502986683,78.51574214178642,36543300
2013-04-26,78.40602111816406,78.79425252116843,78.06842663409269,78.56637350781158,32405600
2013-04-29,78.97148895263672,79.14872460972322,78.54949745317,78.75205156997184,20791400
2013-04-30,79.41878509521484,79.45254518198841,78.63388078519456,78.97991684531492,30488500
2013-05-01,77.49452209472656,79.25000835468595,77.44388517308066,79.17404653313754,120177800
2013-05-02,78.72674560546875,78.88710446122302,77.78992381283749,77.93339940004904,38830300
2013-05-03,79.97581481933594,80.5750418562882,79.62977876808122,79.78169593513095,51981000
2013-05-06,80.49065399169922,80.60036945403952,79.95894062717005,80.0349024388508,26893800
2013-05-07,81.14897918701172,81.16585601640594,80.28811278906042,80.60883049927298,29920800
2013-05-08,81.38528442382812,81.41904451795966,80.75229714679091,80.96329290580331,37669300
2013-05-09,81.10677337646484,81.4528095329085,80.8113805838178,81.27557385732027,32331100
2013-05-10,81.72286987304688,81.80726687948668,81.08144103376247,81.19959813059396,39288900
2013-05-13,81.66378021240234,81.96761454550507,81.38526433387851,81.64689694996443,22522300
2013-05-14,82.71033477783203,82.73565323781744,81.80727321690254,81.81571484992413,33539600
2013-05-15,82.87913513183594,83.27580820610612,82.44870840106091,82.54154705414882,34000200
2013-05-16,82.66812896728516,83.18295909181606,82.4571332257259,82.73564914996308,42053300
2013-05-17,83.59651184082031,83.6133886662355,82.67656709826356,83.04792164818505,35675100
2013-05-20,83.73155975341797,84.06071263618678,83.34332831320553,83.35176994686314,25027400
2013-05-21,83.74840545654297,84.01847966073008,83.45300636274213,83.72308056692926,23596700
2013-05-22,82.52465057373047,84.71900492275614,81.95918355115408,83.90034688245304,68650700
