Date,Close,High,Low,Open,Volume
2003-04-14,7.236702919006348,7.236702919006348,7.186547498049529,7.186547498049529,93600
2003-04-15,7.322684288024902,7.344179734414554,7.281126916990066,7.281126916990066,421200
2003-04-16,7.407230854034424,7.437323736603086,7.401499227820214,7.401499227820214,9000
2003-04-17,7.460252285003662,7.462401644891209,7.4351745747048374,7.448071963992859,17100
2003-04-21,7.4573845863342285,7.469565520251151,7.4516535759251905,7.468849067077363,72900
2003-04-22,7.482463836669922,7.482463836669922,7.4337413249133855,7.456669059284769,19800
2003-04-23,7.517571449279785,7.517571449279785,7.4624002509356515,7.48747795655003,31500
2003-04-24,7.369255065917969,7.458817859473929,7.351341892225531,7.458817859473929,90000
2003-04-25,7.247450828552246,7.2660804605943685,7.236703413322057,7.2660804605943685,102600
2003-04-28,7.367107391357422,7.367107391357422,7.265364247508828,7.266080700882439,91800
2003-04-29,7.577043533325195,7.580626415141098,7.481032017365617,7.481032017365617,76500
2003-04-30,7.555550575256348,7.5655809248792325,7.536205099591903,7.559132842978807,228600
2003-05-01,7.526172161102295,7.564146652030129,7.52330634744177,7.534053763650208,234900
2003-05-02,7.641529560089111,7.641529560089111,7.550533214079008,7.550533214079008,67500
2003-05-05,7.72392463684082,7.725356928054234,7.670186349674408,7.670186349674408,47700
2003-05-06,7.763335227966309,7.772649737064899,7.71676268247336,7.723927831391072,109800
2003-05-07,7.749002933502197,7.7504358398065225,7.724641681384915,7.731089759754382,313200
2003-05-08,7.680936336517334,7.706730501612711,7.6737711881606065,7.702431166606112,417600
2003-05-09,7.771215438842773,7.776947679946877,7.691683591557385,7.691683591557385,63000
2003-05-12,7.879411220550537,7.879411220550537,7.8027451537908,7.806327421637777,752400
2003-05-13,7.8349833488464355,7.851463617346374,7.813488522941149,7.851463617346374,276300
2003-05-14,7.795577049255371,7.834984440566485,7.780530300036299,7.834984440566485,206100
2003-05-15,7.811340808868408,7.811340808868408,7.79199533695906,7.811340808868408,337500
2003-05-16,7.817071914672852,7.845732506649044,7.7955770856720825,7.831402210660948,256500
2003-05-19,7.6307806968688965,7.766916666846616,7.602120719235151,7.766916666846616,128700
2003-05-20,7.668757915496826,7.678072426174748,7.627200536712948,7.648695372129213,53100
2003-05-21,7.675204753875732,7.677354729054345,7.615018978466675,7.65514282873938,45900
2003-05-22,7.744708061218262,7.744708061218262,7.677356506264745,7.677356506264745,84600
2003-05-23,7.82423734664917,7.842866363121015,7.799159635250488,7.799159635250488,74700
2003-05-27,8.104391098022461,8.109406886422263,7.8428665624968845,7.8428665624968845,864000
2003-05-28,8.139501571655273,8.150966057680836,8.104392890037781,8.104392890037781,396000
2003-05-29,8.150248527526855,8.166727570921312,8.11800566418427,8.132335347350946,306900
2003-05-30,8.24482536315918,8.24482536315918,8.151679675259498,8.168159330079206,368100
2003-06-02,8.30429458618164,8.397439651226199,8.268468851570715,8.268468851570715,587700
2003-06-03,8.241242408752441,8.311460361917252,8.173174430313843,8.311460361917252,244800
